           BJD|       RV|   e_RV|Inst
2453578.459205|-30.89613|0.00089|1
2453814.759070|-30.89297|0.00088|1
2453815.772088|-30.89331|0.00082|1
2453830.713844|-30.89168|0.00088|1
2454170.722180|-30.89046|0.00085|1
2454196.763646|-30.89200|0.00102|1
2455233.790844|-30.89109|0.00113|1
2455963.836166|-30.89281|0.00105|1
2456353.830518|-30.88954|0.00121|1
2456356.786912|-30.89003|0.00105|1
2456363.759284|-30.88795|0.00118|1
2456373.666619|-30.88824|0.00127|1
2456385.560103|-30.89119|0.00139|1
2456386.590515|-30.89128|0.00115|1
2456387.719406|-30.89053|0.00103|1
2456388.639447|-30.89016|0.00119|1
2456389.629716|-30.89349|0.00114|1
2456390.632899|-30.89019|0.00148|1
2456391.724678|-30.88946|0.00127|1
2456393.680865|-30.88953|0.00145|1
2456394.638315|-30.89063|0.00129|1
2456395.633389|-30.89138|0.00112|1
2456396.628948|-30.89108|0.00143|1
2456397.608592|-30.89522|0.00141|1
2456398.606879|-30.89266|0.00125|1
2456399.601854|-30.89100|0.00121|1
2456400.586042|-30.88995|0.00108|1
2456401.563689|-30.89130|0.00119|1
2456402.585338|-30.89168|0.00138|1
2456408.621117|-30.89394|0.00135|1
2456409.620951|-30.89190|0.00338|1
2456410.604605|-30.89056|0.00148|1
2456414.606088|-30.89055|0.00143|1
2456415.537112|-30.88813|0.00247|1
2456415.629409|-30.89121|0.00169|1
2456416.659510|-30.89153|0.00130|1
2456451.481081|-30.88581|0.00104|1
2456452.498147|-30.88507|0.00110|1
2456454.504932|-30.88830|0.00123|1
2456455.500043|-30.88895|0.00149|1
2456458.523950|-30.88758|0.00105|1
2456673.866608|-30.89142|0.00143|1
2456691.786236|-30.88944|0.00116|1
2456692.804280|-30.89116|0.00126|1
2456693.813456|-30.88891|0.00110|1
2456694.854936|-30.88904|0.00101|1
2456695.814952|-30.88857|0.00119|1
2456696.774954|-30.88998|0.00116|1
2456697.788917|-30.88485|0.00204|1
2456712.791363|-30.89005|0.00116|1
2456713.781551|-30.88995|0.00124|1
2456714.770625|-30.88473|0.00263|1
2456715.784792|-30.88797|0.00118|1
2456716.764372|-30.88684|0.00130|1
2456717.787019|-30.88737|0.00162|1
2456718.737567|-30.88565|0.00136|1
2456719.746495|-30.88772|0.00110|1
2456720.776348|-30.88973|0.00130|1
2456721.840783|-30.88778|0.00129|1
2456722.767771|-30.88847|0.00119|1
2456723.831797|-30.88682|0.00125|1
2456724.664996|-30.88941|0.00128|1
2456724.819142|-30.88879|0.00118|1
2456725.819715|-30.88813|0.00123|1
2456726.705643|-30.88647|0.00126|1
2456726.808723|-30.88786|0.00108|1
2456727.745772|-30.88608|0.00115|1
2456728.721606|-30.88951|0.00113|1
2456729.726790|-30.89097|0.00110|1
2456740.679336|-30.90639|0.03978|1
2456740.745134|-30.89164|0.00107|1
2456741.657045|-30.89344|0.00108|1
2456742.695366|-30.89306|0.00123|1
2456745.614222|-30.88996|0.00121|1
2456746.716007|-30.88856|0.00117|1
2456763.638265|-30.88783|0.00127|1
2456764.608497|-30.89042|0.00107|1
2456765.530894|-30.88836|0.00138|1
2456766.534987|-30.88642|0.00131|1
2456767.619700|-30.88468|0.00139|1
2456768.627806|-30.88677|0.00101|1
2456778.540910|-30.88720|0.00103|1
2456779.600943|-30.88803|0.00114|1
2456781.530809|-30.88966|0.00124|1
2456782.511550|-30.89000|0.00118|1
2456783.631955|-30.88936|0.00146|1
2456784.587602|-30.88998|0.00116|1
2456822.454912|-30.88729|0.00203|1
2456823.454293|-30.88836|0.00165|1
2456826.493163|-30.88722|0.00155|1
2456827.493656|-30.88811|0.00122|1
2456828.501242|-30.88858|0.00108|1
2456837.492926|-30.88681|0.00144|1
2456838.474070|-30.88716|0.00111|1
2456839.478407|-30.88815|0.00137|1
2456857.460518|-30.88438|0.00142|1
2456858.477550|-30.88551|0.00119|1
2457018.844391|-30.89066|0.00125|1
2457019.868509|-30.89089|0.00119|1
2457020.843780|-30.89092|0.00117|1
2457021.844886|-30.88909|0.00130|1
2457022.874432|-30.88835|0.00121|1
2457044.845249|-30.88874|0.00129|1
2457045.860911|-30.88990|0.00088|1
2457046.828490|-30.89055|0.00104|1
2457047.803082|-30.89231|0.00109|1
2457048.829182|-30.89254|0.00133|1
2457049.837861|-30.89265|0.00129|1
2457050.823874|-30.89159|0.00105|1
2457051.845202|-30.88941|0.00101|1
2457052.837984|-30.88863|0.00115|1
2457053.822872|-30.88650|0.00131|1
2457055.827529|-30.89145|0.00134|1
2457056.823768|-30.89151|0.00103|1
2457057.817621|-30.88991|0.00136|1
2457063.818028|-30.88817|0.00122|1
2457064.868448|-30.88906|0.00107|1
2457065.836178|-30.89025|0.00115|1
2457066.729781|-30.89169|0.00167|1
2457075.795269|-30.88753|0.00108|1
2457076.810866|-30.88904|0.00097|1
2457077.795256|-30.88760|0.00143|1
2457078.810387|-30.88767|0.00108|1
2457079.752863|-30.88821|0.00127|1
2457080.788778|-30.88635|0.00158|1
2457082.794062|-30.88618|0.00119|1
2457085.791436|-30.88668|0.00102|1
2457100.761528|-30.89111|0.00131|1
2457101.701955|-30.88956|0.00189|1
2457102.669638|-30.88868|0.00200|1
2457117.697316|-30.89240|0.00132|1
2457135.656832|-30.88756|0.00091|1
2457137.559269|-30.88902|0.00112|1
2457138.658439|-30.88755|0.00122|1
2457139.662591|-30.88568|0.00123|1
2457146.687254|-30.88700|0.00148|1
2457211.512772|-30.89313|0.00137|2
2457405.772480|-30.89452|0.00087|2
2457413.766190|-30.89358|0.00113|2
2457423.748994|-30.89608|0.00097|2
2457424.726953|-30.89226|0.00091|2
2457425.788480|-30.89341|0.00096|2
2457446.740198|-30.88723|0.00081|2
2457447.698608|-30.88601|0.00104|2
2457448.660142|-30.88604|0.00119|2
2457450.646377|-30.88654|0.00116|2
2457451.638971|-30.88771|0.00085|2
2457456.745843|-30.88835|0.00119|2
2457470.797926|-30.88901|0.00138|2
2457472.802257|-30.89190|0.00095|2
2457479.768521|-30.89012|0.00097|2
2457486.592394|-30.88839|0.00119|2
2457486.751671|-30.88854|0.00116|2
2457487.557776|-30.88713|0.00115|2
2457487.714020|-30.88698|0.00187|2
2457488.609334|-30.88882|0.00086|2
2457488.773309|-30.88808|0.00106|2
2457489.577410|-30.88887|0.00157|2
2457504.718573|-30.88342|0.00509|2
