          BJD|    RV|e_RV|    CRX|e_CRX|   dLW|e_dLW|alpha|alpha|_
2457419.28354| -3.48|1.67|  -8.92|16.09|-11.95| 2.26|1.177|0.007|0
2457421.41749| -3.88|1.22|  15.95|11.47|-20.61| 1.43|1.334|0.008|0
2457595.63597| -3.51|1.89|  10.18|18.24| -7.84| 2.13|1.362|0.010|0
2457596.64927| -4.83|1.70|  23.92|16.45| 33.64| 6.28|1.718|0.010|0
2457611.63441| -0.56|2.24|  45.48|20.28|-23.07| 2.73|1.145|0.008|0
2457612.66146| -0.31|1.96|  12.45|16.49|-24.16| 2.18|1.190|0.008|0
2457613.64561|  4.06|1.79| -22.30|13.67|-26.48| 2.38|1.193|0.008|0
2457615.68063| -4.35|2.49|   9.93|19.06|-22.24| 3.40|1.127|0.010|1
2457619.65129|  1.72|1.81|  37.12|15.46|-24.87| 3.23|1.070|0.006|0
2457621.61312|  0.55|1.66|  20.62|13.78|-25.82| 3.76|1.073|0.006|0
2457622.61332|  6.90|1.71|  33.46|15.64|-30.82| 4.65|1.508|0.011|0
2457623.68473|  5.44|1.83|  33.91|15.41|-31.63| 3.76|1.388|0.008|0
2457625.65334| -2.50|1.38|  20.67|11.27|-30.49| 3.81|1.180|0.006|0
2457628.63497|  1.78|2.08|  23.58|19.39|-36.70| 3.37|1.341|0.010|0
2457629.62641|  2.72|1.98|  24.55|17.41|-39.78| 3.66|1.421|0.010|0
2457630.64336| -0.47|2.03|  62.27|19.22|-39.87| 3.75|1.125|0.009|0
2457631.61818|  3.13|1.82|  18.76|14.56|-36.65| 3.76|1.187|0.008|0
2457632.67351|  0.47|1.85|  59.42|10.89|-33.44| 3.25|1.153|0.006|0
2457633.66438|  3.45|1.97|  37.71|20.04|-38.09| 4.14|1.101|0.009|0
2457634.59101|  4.67|1.52|  17.23|14.63|-35.46| 3.77|1.392|0.009|0
2457635.59839|  1.72|1.78|  33.14|16.98|-42.96| 3.49|1.801|0.011|0
2457636.58484| -0.84|1.92|  11.14|20.54|-41.24| 3.42|1.366|0.011|0
2457641.58846|  2.72|2.78|  30.65|27.29|-32.23| 3.38|1.144|0.010|0
2457642.66018|  4.90|1.64|  15.98|12.00|-30.03| 6.82|1.151|0.006|0
2457643.65701|  8.40|1.92|  20.82|18.41|-34.98| 3.45|2.329|0.013|0
2457644.64701|  5.87|1.84|  29.45|18.98|-32.06| 3.52|1.044|0.010|0
2457646.56945| -2.90|2.30|  41.78|24.94|-25.05| 4.39|1.082|0.015|0
2457647.58116| -0.07|1.61|  14.65|14.60|-16.68| 3.16|1.161|0.008|0
2457648.66569|  2.43|2.03|  31.41|14.53|-19.64| 3.20|1.312|0.009|0
2457649.67788|  1.02|1.69|  27.30|10.99|-18.77| 2.91|1.413|0.007|0
2457650.60235| -1.08|1.60|  17.68|14.40|-11.42| 2.84|1.132|0.007|0
2457652.67401|  2.03|1.71|  -2.91|16.10|-16.65| 2.52|1.647|0.009|0
2457654.62373|  2.45|1.64| -12.86|16.50|-18.50| 2.22|1.086|0.009|0
2457655.56814|  0.58|1.69|  -3.43|15.94|-19.18| 2.15|1.270|0.009|0
2457656.62039| -2.73|1.65|   8.81|16.07|-17.78| 2.00|1.143|0.008|0
2457665.66350|  0.32|1.61|  -5.53|13.89| -6.86| 1.57|1.128|0.006|0
2457672.57897|  2.14|1.39|  30.31|11.37|  0.03| 1.28|1.203|0.007|0
2457673.61955|  0.28|1.58| -10.18|15.59| -6.57| 2.23|1.454|0.009|0
2457673.65319|  1.00|1.14|  17.73| 8.69| -6.55| 1.82|1.377|0.008|0
2457678.57080|  4.11|1.81|  39.00|17.16|124.66|19.10|1.447|0.008|0
2457689.52936|  1.35|1.51|  13.40|14.60|-12.17| 1.82|1.332|0.007|0
2457690.69038| -0.47|1.69|   6.85|15.67| -5.91| 1.61|1.128|0.008|0
2457691.49893|  0.33|1.16|  18.26|10.19|-13.29| 7.07|1.447|0.008|0
2457693.44771|  4.06|1.17|  18.68| 9.95|-15.86| 6.58|1.073|0.007|0
2457694.49906| -0.28|1.26|  13.14|10.89|-15.20| 7.33|1.130|0.007|0
2457695.51622| -1.26|1.24|  23.17|10.27| -7.88| 1.68|1.109|0.007|0
2457709.45391| -3.05|1.29|  19.77|10.49|-12.45| 2.41|1.109|0.007|0
2457949.65499| -2.41|2.21|   6.09|21.89| 30.57| 6.77|1.131|0.010|0
2457950.65011| -2.92|2.02| -13.37|20.40| 35.44| 5.99|1.523|0.012|0
2457953.64371|  2.29|2.29|   2.56|19.20| 26.98| 4.68|1.464|0.011|0
2457959.63636| -6.03|1.60| -20.91|12.56|  2.94| 1.64|1.250|0.007|0
2457960.65963| -2.49|1.50| -20.77|13.57|  4.68| 2.04|1.227|0.008|0
2457961.62634| -1.04|1.55|   7.91|14.87|  0.35| 1.78|1.243|0.008|0
2457962.63047| -0.65|1.41|  -8.82|12.74|  1.53| 1.43|1.235|0.007|0
2457963.63224|  0.11|1.40|   6.48| 9.39|  2.18| 1.59|1.274|0.007|0
2457964.65801| -1.80|1.41|  -0.81|12.29|  2.65| 1.39|1.572|0.007|0
2457969.65929| -3.93|1.32|   4.11| 9.63|  1.74| 1.31|1.188|0.005|0
2457970.61360| -2.99|1.49|  -1.19|12.10| -1.78| 1.54|1.153|0.006|0
2457971.60575| -1.19|1.60|   1.23|14.55|  0.66| 2.24|1.238|0.008|0
2457972.66490|  8.30|3.08|  23.63|28.53|  2.40| 4.51|1.278|0.017|0
2457975.64930|  1.31|1.65|   2.69|11.84| -5.10| 1.91|1.154|0.007|0
2457976.66526|  0.93|1.83|  19.62|10.36| -2.37| 1.91|1.344|0.008|0
2457982.66080|  1.95|1.35|  15.69| 9.54|-10.27| 1.96|1.554|0.006|0
2457986.57142|  3.93|1.66|   4.23|14.56|-16.34| 2.46|1.480|0.008|0
2457987.55319|  2.05|1.47|  15.18|12.95|-20.28| 2.57|1.665|0.009|0
2457988.64327|  2.49|2.73|  -3.33|12.06|-15.85| 2.58|1.244|0.006|0
2457990.56053| -4.11|1.64|  19.84|14.51|-20.72| 2.85|1.113|0.007|0
2457997.65668|  3.46|1.22|  12.93| 8.53|-13.78| 2.36|1.293|0.005|0
2458002.63169|  1.81|1.37|  10.76| 8.78| -7.58| 2.25|1.093|0.005|0
2458005.65294|  0.95|1.34| -12.28|11.27| 27.07|10.43|1.152|0.007|0
2458009.64887| -1.14|1.49|  -9.49|13.62|-24.19| 2.69|1.624|0.010|0
2458010.65579|  2.38|1.38|  11.92|11.84|-25.78| 2.16|1.386|0.008|0
2458018.64275| -3.07|1.72|  20.20|12.73|-22.24| 2.29|1.113|0.006|0
2458019.63503| -2.20|1.57|   0.48|11.57|-22.64| 2.35|1.352|0.006|0
2458020.62737| -0.19|1.77|  -1.13|11.33|-24.44| 2.65|1.184|0.006|0
2458021.62206|  2.69|1.31|  14.08| 9.14|-21.98| 2.20|1.126|0.005|0
2458022.66124|  3.64|1.62|  31.19|11.23|-22.51| 2.41|1.111|0.006|0
2458023.62656|  2.76|1.65|   8.12|13.67|-26.27| 2.63|1.130|0.008|0
2458024.64620|  1.68|5.13|  40.84|40.36|-74.79|10.26|1.117|0.042|0
2458025.62806| -0.58|1.70|  -0.75| 9.79|-21.45| 2.14|1.122|0.006|0
2458026.60479|  2.70|1.72|  -2.95|12.37|-27.07| 2.66|1.527|0.009|0
2458027.60878|  0.33|1.27|   9.09| 9.79|-22.77| 2.79|1.146|0.005|0
2458028.61592| -4.88|1.66|  -3.56|13.02|-19.79| 2.53|1.269|0.007|0
2458029.62376|  1.47|1.90|  39.97|10.73|-16.68| 2.40|1.146|0.005|0
2458030.69588|  4.44|2.17|  13.03|16.80|-26.64| 2.08|1.405|0.008|0
2458031.59252|  7.49|1.87|  18.86|13.48|-16.52| 2.54|1.207|0.007|0
2458032.59559|  7.50|1.77|  39.27|11.76| -4.93| 3.06|1.065|0.006|0
2458033.65479|  1.73|1.63|  18.17| 7.88|  0.65| 2.92|1.089|0.005|0
2458040.53208|  2.18|2.16|  21.50|11.53|-10.10| 1.49|1.164|0.005|0
2458040.66282|  4.31|2.21|  32.16|11.50| -8.41| 2.03|1.158|0.005|0
2458041.50453| 12.68|4.61|  17.65| 9.80| -3.41| 1.29|1.187|0.005|0
2458041.71563|  8.15|4.50|   9.31| 9.29| -6.04| 1.73|1.236|0.007|1
2458042.49881|  0.53|5.06|  13.82|24.15|-31.40| 3.82|1.173|0.021|1
2458043.47476|-11.52|4.30|  16.06| 9.03| -2.04| 1.68|1.403|0.006|1
2458047.52314|  0.13|1.77| -17.87|11.15|  9.76| 1.77|1.376|0.006|0
2458048.50987| -1.54|1.42|  -3.00| 9.99| 13.70| 1.71|1.317|0.005|0
2458049.44609| -2.75|2.20| -26.61|12.35| 14.50| 2.17|1.299|0.006|0
2458050.46523|  1.33|1.82| -24.55|13.73| 13.54| 2.83|1.208|0.007|0
2458050.67639|  1.75|2.24| -29.67|19.91|  9.91| 2.43|2.106|0.013|0
2458051.52644| -0.71|1.69| -14.99|11.05| 15.94| 2.45|1.328|0.006|0
2458051.65272| -0.94|1.70|  -6.79|10.92| 16.32| 2.36|1.357|0.005|0
2458052.41748| -1.70|1.37|   3.82| 9.68| 19.04| 2.43|1.562|0.006|0
2458052.64685| -1.72|1.35|   7.08| 9.88| 12.77| 2.69|2.046|0.007|0
2458053.47107| -0.13|1.61|  -6.99|10.40| 15.76| 2.76|1.290|0.006|0
2458053.64067| -0.75|1.82| -23.06|14.05| 13.52| 2.83|1.215|0.007|0
2458054.42297|  0.39|1.83|  -9.01|11.15| 19.12| 2.80|1.279|0.006|0
2458054.56012|  1.12|1.76| -10.64| 9.16| 22.55| 2.62|1.337|0.006|0
2458055.44945|  4.77|1.76|   4.11|15.32| 18.84| 2.83|1.374|0.007|0
2458056.50768|  3.33|1.42|  15.33| 9.00| 19.62| 2.98|1.399|0.006|0
2458056.60640|  4.01|1.48|  -1.73|10.53| 18.38| 4.21|4.263|0.012|0
2458057.46819|  2.24|1.38|  12.09|11.35| 23.39| 3.08|1.882|0.007|0
2458058.37691| -2.11|1.84|  -0.22|12.25| 29.72| 3.30|1.349|0.006|0
2458059.45851| -2.95|1.56| -27.37|11.97| 32.56| 3.49|2.390|0.009|0
2458060.35331| -3.08|1.91|  -7.48|19.65|123.66|15.49|1.317|0.008|0
2458060.49914| -7.11|2.77| -67.54|29.35|289.93|32.45|1.170|0.009|0
2458064.53012| -3.44|3.80| -34.78|41.51| 32.36| 5.89|2.791|0.020|0
2458064.66617|  0.28|3.61| -54.96|38.49| 45.16| 6.08|2.084|0.016|0
2458065.47674|  2.62|1.48| -31.74|11.15| 37.40| 3.51|5.850|0.015|0
2458066.37640|  2.24|2.07| -25.52|19.92| 25.66| 3.92|1.240|0.015|0
2458066.50967| -0.49|3.60| -10.17|40.70| 43.06| 5.68|1.527|0.020|0
2458074.39260| -3.05|1.46| -29.66| 9.57| 24.70| 3.32|1.571|0.006|0
2458074.56213| -4.71|1.40| -18.63| 9.28| 24.14| 3.41|1.957|0.007|0
2458078.32077| -1.30|1.77|   2.22|13.38| 20.60| 2.84|1.333|0.007|0
2458078.41927| -1.83|1.86| -18.02|14.11| 16.60| 2.98|1.225|0.006|0
2458079.32107|  1.85|1.65|  -6.33|10.91| 20.51| 2.55|1.356|0.006|0
2458080.30958|  0.48|1.66| -20.68|11.63|-47.57|15.03|1.562|0.008|0
2458081.31937| -1.28|2.42| -25.50|24.73| 12.55| 3.80|1.258|0.013|0
2458081.44998| -2.29|1.76| -31.55|13.03|  8.19| 2.32|1.381|0.007|0
2458082.30055| -2.22|1.71|  -6.59|11.76| 11.68| 2.03|1.391|0.007|0
2458082.42621| -3.53|1.63|   1.86|10.58|  8.21| 2.37|1.303|0.006|0
2458084.36909| -3.45|1.97| -27.02|11.71|  9.23| 1.70|1.381|0.008|0
2458085.55401| -1.09|2.37| -19.69|18.63| -2.80| 2.08|2.449|0.015|0
2458088.55202| -1.24|5.79|-118.31|65.01|131.21|22.78|1.181|0.026|0
2458091.48048| -2.24|1.49| -23.28| 8.74|  7.00| 2.38|1.173|0.005|0
2458092.50560| -4.10|1.38|  -3.18|10.35| -0.86| 1.87|1.321|0.006|0
2458093.31238| -2.53|1.14|  -4.47| 8.61| -7.04| 1.93|1.369|0.006|0
2458094.33746| -4.37|1.35|  -8.74|10.39| -7.34| 2.29|1.288|0.005|0
2458094.47703| -1.16|1.26|   3.58| 9.23| -8.44| 2.07|1.613|0.006|0
2458095.38053|  3.03|1.27|  18.17| 8.11|-22.63| 4.21|1.306|0.006|0
2458099.34850| -2.62|3.10| -28.44|35.32|-52.33|10.83|1.309|0.024|0
2458104.35948| -0.58|2.97| -77.71|28.59|-56.79|11.07|1.304|0.024|0
2458105.39761| -2.53|1.71|  -0.64|16.65|-36.42| 5.73|1.194|0.009|0
2458106.41814|  2.11|4.91| -70.04|59.09|-71.70|10.37|1.199|0.054|0
2458109.33039|  2.42|1.76|  22.83|14.94|-36.10| 5.01|1.308|0.008|0
2458110.33109|  2.40|1.60|   1.53|13.96|-34.56| 4.47|1.405|0.006|0
2458111.29685|  2.82|2.49|  -2.66|24.29|-42.87| 6.19|1.073|0.012|0
2458112.31135|  0.81|1.35|  -3.33|11.06|-27.38| 4.43|1.150|0.005|0
2458114.27031|  0.76|2.43|   0.76|20.71|-47.15| 7.59|1.081|0.020|0
2458118.36114| -5.05|1.55|  -0.93|12.42| -7.84| 5.12|1.674|0.007|0
2458120.38765|  0.31|2.24|   7.75|23.85|-24.12| 4.65|1.068|0.013|0
2458121.36531| -0.49|1.46|   1.61|11.02|-19.78| 4.05|2.579|0.009|0
2458122.35020| -0.98|1.70|  22.30| 9.87|-24.19| 3.18|1.353|0.005|0
2458123.34833| -0.22|1.47|  -0.66|12.46|-29.27| 3.30|1.179|0.006|0
2458124.34296|  1.36|2.04| -21.87|12.42|-42.72| 6.25|1.081|0.009|0
2458132.35549|  3.74|4.58|  61.42|52.90|-26.51| 5.89|1.131|0.033|0
2458134.36060|  5.10|1.76|   5.89|16.48|-20.21| 2.55|1.069|0.009|0
2458135.33013|  1.70|2.01| -22.74|15.76|-30.95| 2.68|1.090|0.010|0
2458136.33323|  0.73|1.42| -19.82| 9.10|-21.78| 2.26|1.480|0.007|0
2458138.34596|  0.67|2.11|  19.13|18.23|-15.99| 1.70|1.394|0.011|0
2458139.34575|  0.99|1.57|   8.85|11.66|-11.44| 1.69|1.321|0.007|0
2458140.35047| -0.67|1.49|  -2.40|11.92|-12.52| 1.54|1.790|0.008|0
2458141.41398| -3.41|1.43|   7.00|12.36|-12.63| 1.66|1.389|0.008|0
2458143.31165| -3.86|1.50| -11.07| 8.19|  6.55| 1.17|1.290|0.005|0
2458149.31804| -0.36|1.27|   7.35| 9.51| 21.31| 2.07|1.490|0.009|0
2458159.31587|  4.07|2.76| -34.47|26.55| 23.34| 4.35|1.649|0.017|0
2458161.32510| -1.00|2.47|  -5.59|24.18|  8.89| 7.65|1.534|0.014|0
2458164.31711|  0.09|2.46|  -9.59|14.19| 24.61| 3.57|1.542|0.008|0
2458165.29737| -0.57|2.30| -18.11|14.86| 22.86| 4.27|3.584|0.016|0
2458166.32428| -3.24|2.09|  -8.53|21.37| 10.55| 8.12|1.553|0.014|0
2458167.29587| -6.50|2.37| -15.39|16.82| 22.89| 3.93|2.004|0.012|0
2458172.30158|  1.48|2.18| -22.21|18.67| 15.49| 6.02|2.499|0.020|0
2458173.34394|  2.23|2.22|  -6.43|19.95| 30.04| 3.84|1.475|0.011|0
2458174.30897|  2.47|2.54| -35.41|20.71| 27.88| 4.04|1.954|0.015|0
2458175.32244| -4.99|1.55| -29.69|11.86| 27.00| 2.79|1.344|0.007|0
2458182.32948|  1.95|3.52| -19.86|35.73| -0.62| 3.90|1.807|0.024|0
2458317.64488|  1.54|2.31|   3.45|23.01|-16.45| 2.60|1.267|0.015|0
2458329.62479|  0.09|1.31|  14.97|10.02|  3.21| 1.33|1.413|0.007|0
2458338.66943| -1.99|1.74|  33.94|12.80|  0.81| 1.35|1.279|0.007|0
2458339.67027|  1.82|1.73| -15.29|14.43|-12.52| 5.59|1.552|0.010|0
2458340.67229|  1.86|1.32| -11.87|10.19|  4.89| 1.51|1.642|0.007|0
2458346.67216|  3.08|1.23|   7.50| 8.28| -0.69| 1.55|1.335|0.007|0
2458348.66311| -0.61|1.37| -12.34|10.89|  4.39| 1.35|1.714|0.007|0
2458349.67117|  2.49|1.34|   5.19|10.00|  3.53| 1.81|1.293|0.005|0
2458350.68042|  3.00|1.52|  -6.49|12.34|  2.09| 2.01|1.693|0.008|0
2458352.68322| -1.74|1.26|   4.31| 8.56|  6.88| 1.30|1.185|0.005|0
2458356.68144| -1.65|1.34|   8.15| 9.53| 14.01| 1.44|1.409|0.006|0
2458382.64315| -4.78|1.46| -22.79|11.05| 16.26| 2.53|2.131|0.007|0
2458383.61404| -1.09|1.38| -13.66|11.07| 15.31| 2.47|4.039|0.011|0
2458384.47003| -0.39|1.49| -18.87|11.39| 25.05| 2.77|1.924|0.007|0
2458385.62078|  1.68|1.41|   2.24|10.77| 20.19| 2.20|1.456|0.006|0
2458386.46614| -0.46|1.59|  -5.80|13.89| 52.77| 7.35|1.817|0.008|0
2458391.61215| -2.66|1.51| -21.67|13.54| 61.10| 6.25|1.428|0.007|0
2458393.46595| -1.61|1.70| -25.54|15.91| 12.36| 2.58|2.294|0.014|0
2458396.60058| -0.27|1.47| -22.49|11.92| 18.49| 2.37|1.535|0.007|0
2458399.46780|  1.90|1.61| -26.39|14.21| 15.00| 2.37|1.591|0.009|0
